Detector Descriptor ImageID lidarTTC cameraTTC TTC_Difference
SIFT BRIEF 9 13.0241 13.2573 -0.233189
SIFT BRIEF 10 11.1746 10.3311 0.843557
SIFT BRIEF 11 12.8086 12.0448 0.763811
SIFT BRIEF 12 8.95978 9.75493 -0.795147
SIFT BRIEF 13 9.96439 9.6037 0.36069
SIFT BRIEF 14 9.59863 9.35336 0.245272
SIFT BRIEF 15 8.57352 8.92268 -0.349155
SIFT BRIEF 16 9.51617 8.86325 0.652917
SIFT BRIEF 17 9.54658 8.61534 0.931239
SIFT BRIEF 18 8.3988 9.41366 -1.01486
SIFT FREAK 1 12.5156 11.578 0.937579
SIFT FREAK 2 12.6142 13.0746 -0.46036
SIFT FREAK 3 14.091 12.9327 1.15831
SIFT FREAK 4 16.6894 19.6816 -2.99222
SIFT FREAK 5 15.9082 13.5601 2.3481
SIFT FREAK 6 12.6787 11.0118 1.66694
SIFT FREAK 7 11.9844 14.3905 -2.4061
SIFT FREAK 8 13.1241 12.7125 0.411637
SIFT FREAK 9 13.0241 15.3658 -2.34165
SIFT FREAK 10 11.1746 9.87269 1.30195
SIFT FREAK 11 12.8086 11.2887 1.51986
SIFT FREAK 12 8.95978 10.6904 -1.73063
SIFT FREAK 13 9.96439 9.13499 0.829403
SIFT FREAK 14 9.59863 9.43841 0.160224
SIFT FREAK 15 8.57352 9.10475 -0.531224
SIFT FREAK 16 9.51617 9.65443 -0.138258
SIFT FREAK 17 9.54658 8.63546 0.911118
SIFT FREAK 18 8.3988 9.01231 -0.61351
SIFT SIFT 1 12.5156 11.7563 0.759284
SIFT SIFT 2 12.6142 13.8517 -1.23743
SIFT SIFT 3 14.091 12.7443 1.34672
SIFT SIFT 4 16.6894 18.8664 -2.17702
SIFT SIFT 5 15.9082 14.6066 1.30164
SIFT SIFT 6 12.6787 12.1949 0.483819
SIFT SIFT 7 11.9844 14.182 -2.19766
SIFT SIFT 8 13.1241 17.8142 -4.69011
SIFT SIFT 9 13.0241 14.0604 -1.03627
SIFT SIFT 10 11.1746 10.7069 0.467734
SIFT SIFT 11 12.8086 11.7235 1.08512
SIFT SIFT 12 8.95978 11.4202 -2.46041
SIFT SIFT 13 9.96439 10.5629 -0.598518
